OTUs	Name	Oral_and_five_sense_organs	Skin	Circulatory_system	Urogenital_system	Digestive_system	Respiratory_system	Other(motor_and_nervous_and_endocrine_system)
otu_S003745345	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S003745346	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S003929801	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055078	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055079	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055080	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055081	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055082	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055083	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055084	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055085	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055086	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055087	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055088	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055089	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055090	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055091	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055092	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055093	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055094	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055095	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055096	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055097	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055098	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055099	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055100	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055101	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055102	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055103	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055104	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055105	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055106	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004055107	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004062131	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004063624	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004064005	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004065285	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004066330	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004067338	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004067339	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
